[2025-07-25 23:08:58] FDS: Action = Hold, State = (2, 2, 2, 2, 2, 2, 0), Price = 462.80, Reward = 0.0000, Equity = 100000000.00
[2025-07-26 01:47:14] GOOGL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 173.08, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:47:23] AAPL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 200.40, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:47:32] DIA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 424.13, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:47:41] MSFT: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 460.49, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:47:49] HPE: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 17.96, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:47:58] ALUR: Action = Hold, State = (2, 3, 4, 0, 1, 2, 1), Price = 3.35, Reward = 0.0018, Equity = 99996438.87
[2025-07-26 01:48:07] QSR: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 71.60, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:48:16] MTN: Action = Hold, State = (4, 4, 4, 2, 1, 2, 1), Price = 166.90, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:48:25] AMZN: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 205.99, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:48:33] CNAV: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 25.81, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:48:42] ASPS: Action = Hold, State = (2, 1, 1, 0, 2, 1, 1), Price = 0.79, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:48:51] LYRA: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.09, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:49:00] BX: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 139.15, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:49:09] HOLX: Action = Hold, State = (4, 3, 4, 1, 1, 2, 1), Price = 62.14, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:49:18] NVFY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 1.31, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:49:27] PRU: Action = Hold, State = (2, 3, 4, 2, 4, 2, 1), Price = 104.54, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:49:36] SMTC: Action = Hold, State = (2, 1, 0, 3, 1, 2, 1), Price = 37.99, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:49:44] RAY: Action = Hold, State = (3, 2, 0, 4, 1, 2, 1), Price = 2.32, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:49:53] BAC: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 44.28, Reward = 0.0003, Equity = 99996438.87
[2025-07-26 01:50:02] ASPSZ: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.41, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:50:20] DJT: Action = Hold, State = (0, 1, 0, 3, 1, 2, 0), Price = 23.60, Reward = 0.0000, Equity = 99996438.87
[2025-07-26 01:50:29] GOOG: Action = Buy, State = (4, 3, 4, 2, 1, 2, 0), Price = 174.13, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:52:19] ASPSW: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.39, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:52:26] DECK: Action = Hold, State = (0, 4, 4, 2, 1, 2, 1), Price = 108.68, Reward = 0.0002, Equity = 99996264.74
[2025-07-26 01:52:34] PWR: Action = Hold, State = (4, 4, 4, 2, 2, 2, 1), Price = 342.35, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:52:42] ALSN: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 104.59, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:52:50] MCK: Action = Hold, State = (3, 3, 4, 2, 1, 2, 1), Price = 720.00, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:52:59] NVDA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 135.60, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:53:08] CNC: Action = Hold, State = (0, 3, 4, 1, 3, 2, 1), Price = 57.38, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:53:15] GOOGL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 173.08, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:53:23] AAPL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 200.40, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:53:32] DIA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 424.13, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:53:39] MSFT: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 460.49, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:53:47] HPE: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 17.96, Reward = 0.0000, Equity = 99996264.74
[2025-07-26 01:53:55] ALUR: Action = Sell, State = (2, 3, 4, 0, 1, 2, 1), Price = 3.35, Reward = 0.0018, Equity = 99996268.09
[2025-07-26 01:54:03] QSR: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 71.60, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:54:11] MTN: Action = Hold, State = (4, 4, 4, 2, 1, 2, 1), Price = 166.90, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:54:19] AMZN: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 205.99, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:54:27] CNAV: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 25.81, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:54:35] ASPS: Action = Hold, State = (2, 1, 1, 0, 2, 2, 1), Price = 0.79, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:54:43] LYRA: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.09, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:54:51] BX: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 139.15, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:54:58] HOLX: Action = Hold, State = (4, 3, 4, 1, 1, 2, 1), Price = 62.14, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:55:06] NVFY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 1.31, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:55:14] PRU: Action = Hold, State = (2, 3, 4, 2, 4, 2, 1), Price = 104.54, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:55:22] SMTC: Action = Hold, State = (2, 1, 0, 3, 1, 2, 1), Price = 37.99, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:55:31] GOOG: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 174.13, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:55:39] RAY: Action = Hold, State = (3, 2, 0, 4, 1, 2, 1), Price = 2.32, Reward = 0.0000, Equity = 99996268.09
[2025-07-26 01:55:47] BAC: Action = Sell, State = (4, 3, 4, 2, 1, 2, 1), Price = 44.28, Reward = 0.0003, Equity = 99996312.37
[2025-07-26 01:55:54] ASPSZ: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.41, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:58:00] ASPSW: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.39, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:58:08] DECK: Action = Hold, State = (0, 4, 4, 2, 1, 2, 1), Price = 108.68, Reward = 0.0002, Equity = 99996312.37
[2025-07-26 01:58:16] PWR: Action = Hold, State = (4, 4, 4, 2, 2, 2, 1), Price = 342.35, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:58:24] ALSN: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 104.59, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:58:32] MCK: Action = Hold, State = (3, 3, 4, 2, 1, 2, 1), Price = 720.00, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:58:40] NVDA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 135.60, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:58:48] CNC: Action = Hold, State = (0, 3, 4, 1, 3, 2, 1), Price = 57.38, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:58:57] GOOGL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 173.08, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:59:05] AAPL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 200.40, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:59:13] DIA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 424.13, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:59:21] MSFT: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 460.49, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:59:30] HPE: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 17.96, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:59:37] QSR: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 71.60, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:59:45] MTN: Action = Hold, State = (4, 4, 4, 2, 1, 2, 1), Price = 166.90, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 01:59:53] AMZN: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 205.99, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:01] CNAV: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 25.81, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:10] ASPS: Action = Hold, State = (2, 1, 1, 0, 2, 2, 1), Price = 0.79, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:18] LYRA: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.09, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:26] BX: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 139.15, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:34] HOLX: Action = Hold, State = (4, 3, 4, 1, 1, 2, 1), Price = 62.14, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:42] NVFY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 1.31, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:50] PRU: Action = Hold, State = (2, 3, 4, 2, 4, 2, 1), Price = 104.54, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:00:58] SMTC: Action = Hold, State = (2, 1, 0, 3, 1, 2, 1), Price = 37.99, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:01:06] GOOG: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 174.13, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:01:14] RAY: Action = Hold, State = (3, 2, 0, 4, 1, 2, 1), Price = 2.32, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:01:22] ASPSZ: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.41, Reward = 0.0000, Equity = 99996312.37
[2025-07-26 02:01:31] F: Action = Buy, State = (2, 1, 1, 2, 1, 2, 0), Price = 10.32, Reward = 0.0000, Equity = 99996302.05
[2025-07-26 02:01:39] META: Action = Buy, State = (4, 2, 4, 2, 1, 2, 0), Price = 641.20, Reward = 0.0000, Equity = 99995660.85
[2025-07-26 02:01:47] BTC: Action = Buy, State = (1, 2, 0, 3, 1, 0, 0), Price = 48.38, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:03:44] F: Action = Hold, State = (2, 1, 1, 2, 1, 2, 1), Price = 10.32, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:03:53] ASPSW: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.39, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:04:01] DECK: Action = Hold, State = (0, 4, 4, 2, 1, 2, 1), Price = 108.68, Reward = 0.0002, Equity = 99995612.47
[2025-07-26 02:04:08] BTC: Action = Hold, State = (1, 2, 0, 3, 1, 2, 1), Price = 48.38, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:04:17] PWR: Action = Hold, State = (4, 4, 4, 2, 2, 2, 1), Price = 342.35, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:04:25] ALSN: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 104.59, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:04:33] MCK: Action = Hold, State = (3, 3, 4, 2, 1, 2, 1), Price = 720.00, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:04:41] NVDA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 135.60, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:04:49] CNC: Action = Hold, State = (0, 3, 4, 1, 3, 2, 1), Price = 57.38, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:04:56] GOOGL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 173.08, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:05:04] AAPL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 200.40, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:05:12] DIA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 424.13, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:05:20] MSFT: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 460.49, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:05:28] HPE: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 17.96, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:05:37] QSR: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 71.60, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:05:44] MTN: Action = Hold, State = (4, 4, 4, 2, 1, 2, 1), Price = 166.90, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:05:52] META: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 641.20, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:00] AMZN: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 205.99, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:08] CNAV: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 25.81, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:16] ASPS: Action = Hold, State = (2, 1, 1, 0, 2, 2, 1), Price = 0.79, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:24] LYRA: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.09, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:33] BX: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 139.15, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:40] HOLX: Action = Hold, State = (4, 3, 4, 1, 1, 2, 1), Price = 62.14, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:48] NVFY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 1.31, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:06:56] PRU: Action = Hold, State = (2, 3, 4, 2, 4, 2, 1), Price = 104.54, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:07:04] SMTC: Action = Hold, State = (2, 1, 0, 3, 1, 2, 1), Price = 37.99, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:07:12] GOOG: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 174.13, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:07:20] RAY: Action = Hold, State = (3, 2, 0, 4, 1, 2, 1), Price = 2.32, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:07:28] ASPSZ: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.41, Reward = 0.0000, Equity = 99995612.47
[2025-07-26 02:07:37] ARKX: Action = Buy, State = (4, 3, 4, 0, 1, 0, 0), Price = 21.01, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:09:27] F: Action = Hold, State = (2, 1, 1, 2, 1, 2, 1), Price = 10.32, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:09:35] ASPSW: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.39, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:09:43] DECK: Action = Hold, State = (0, 4, 4, 2, 1, 2, 1), Price = 108.68, Reward = 0.0002, Equity = 99995591.46
[2025-07-26 02:09:51] BTC: Action = Hold, State = (1, 2, 0, 3, 1, 2, 1), Price = 48.38, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:09:59] PWR: Action = Hold, State = (4, 4, 4, 2, 2, 2, 1), Price = 342.35, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:10:07] ALSN: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 104.59, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:10:15] ARKX: Action = Hold, State = (4, 3, 4, 0, 1, 0, 1), Price = 21.01, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:10:24] MCK: Action = Hold, State = (3, 3, 4, 2, 1, 2, 1), Price = 720.00, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:10:32] NVDA: Action = Hold, State = (4, 3, 4, 2, 1, 0, 1), Price = 135.60, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:10:41] CNC: Action = Hold, State = (0, 3, 4, 1, 3, 2, 1), Price = 57.38, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:10:49] GOOGL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 173.08, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:10:57] AAPL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 200.40, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:11:05] DIA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 424.13, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:11:13] MSFT: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 460.49, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:11:21] HPE: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 17.96, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:11:30] QSR: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 71.60, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:11:38] MTN: Action = Hold, State = (4, 4, 4, 2, 1, 2, 1), Price = 166.90, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:11:46] META: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 641.20, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:11:54] AMZN: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 205.99, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:12:02] CNAV: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 25.81, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:12:10] ASPS: Action = Hold, State = (2, 1, 1, 0, 2, 2, 1), Price = 0.79, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:12:18] LYRA: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.09, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:12:26] BX: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 139.15, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:12:35] HOLX: Action = Hold, State = (4, 3, 4, 1, 1, 2, 1), Price = 62.14, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:12:43] NVFY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 1.31, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:12:51] PRU: Action = Hold, State = (2, 3, 4, 2, 4, 2, 1), Price = 104.54, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:13:00] SMTC: Action = Hold, State = (2, 1, 0, 3, 1, 2, 1), Price = 37.99, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:13:08] GOOG: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 174.13, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:13:16] RAY: Action = Hold, State = (3, 2, 0, 4, 1, 2, 1), Price = 2.32, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:13:24] ASPSZ: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.41, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:15:14] F: Action = Hold, State = (2, 1, 1, 2, 1, 2, 1), Price = 10.32, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:15:22] ASPSW: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.39, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:15:30] DECK: Action = Hold, State = (0, 4, 4, 2, 1, 2, 1), Price = 108.68, Reward = 0.0002, Equity = 99995591.46
[2025-07-26 02:15:39] BTC: Action = Hold, State = (1, 2, 0, 3, 1, 2, 1), Price = 48.38, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:15:47] PWR: Action = Hold, State = (4, 4, 4, 2, 2, 2, 1), Price = 342.35, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:15:55] ALSN: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 104.59, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:16:03] ARKX: Action = Hold, State = (4, 3, 4, 0, 1, 2, 1), Price = 21.01, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:16:11] MCK: Action = Hold, State = (3, 3, 4, 2, 1, 2, 1), Price = 720.00, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:16:20] NVDA: Action = Hold, State = (4, 3, 4, 2, 1, 0, 1), Price = 135.60, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:16:28] CNC: Action = Hold, State = (0, 3, 4, 1, 3, 2, 1), Price = 57.38, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:16:36] GOOGL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 173.08, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:16:44] AAPL: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 200.40, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:16:52] DIA: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 424.13, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:00] MSFT: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 460.49, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:08] HPE: Action = Hold, State = (3, 2, 4, 2, 1, 2, 1), Price = 17.96, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:16] QSR: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 71.60, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:24] MTN: Action = Hold, State = (4, 4, 4, 2, 1, 2, 1), Price = 166.90, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:32] META: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 641.20, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:40] AMZN: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 205.99, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:48] CNAV: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 25.81, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:17:57] ASPS: Action = Hold, State = (2, 1, 1, 0, 2, 2, 1), Price = 0.79, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:18:06] LYRA: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.09, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:18:15] BX: Action = Hold, State = (4, 2, 4, 2, 1, 2, 1), Price = 139.15, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:18:24] HOLX: Action = Hold, State = (4, 3, 4, 1, 1, 2, 1), Price = 62.14, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:18:33] NVFY: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 1.31, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:18:42] PRU: Action = Hold, State = (2, 3, 4, 2, 4, 2, 1), Price = 104.54, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:18:51] SMTC: Action = Hold, State = (2, 1, 0, 3, 1, 2, 1), Price = 37.99, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:19:01] GOOG: Action = Hold, State = (4, 3, 4, 2, 1, 2, 1), Price = 174.13, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:19:10] RAY: Action = Hold, State = (3, 2, 0, 4, 1, 2, 1), Price = 2.32, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:19:19] ASPSZ: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.41, Reward = 0.0000, Equity = 99995591.46
[2025-07-26 02:21:08] F: Action = Sell, State = (2, 1, 1, 2, 1, 2, 1), Price = 10.30, Reward = -0.0006, Equity = 99995601.76
[2025-07-26 02:21:17] ASPSW: Action = Hold, State = (2, 2, 2, 2, 2, 2, 1), Price = 0.39, Reward = 0.0000, Equity = 99995601.76
[2025-07-26 02:21:25] DECK: Action = Sell, State = (0, 4, 4, 2, 1, 2, 1), Price = 108.68, Reward = 0.0002, Equity = 99995710.44
[2025-07-26 02:21:33] BTC: Action = Hold, State = (1, 2, 0, 3, 1, 2, 1), Price = 48.38, Reward = 0.0000, Equity = 99995710.44
[2025-07-26 02:21:41] PWR: Action = Hold, State = (4, 4, 4, 2, 2, 2, 1), Price = 342.35, Reward = 0.0000, Equity = 99995710.44
[2025-07-26 02:21:49] ALSN: Action = Hold, State = (0, 3, 4, 2, 4, 2, 1), Price = 104.59, Reward = 0.0000, Equity = 99995710.44
[2025-07-26 02:21:57] ARKX: Action = Hold, State = (4, 3, 4, 4, 1, 2, 1), Price = 21.20, Reward = 0.0027, Equity = 99995710.44
[2025-07-26 02:22:05] MCK: Action = Hold, State = (3, 3, 4, 2, 1, 2, 1), Price = 720.00, Reward = 0.0000, Equity = 99995710.44
[2025-07-26 02:22:14] NVDA: Action = Hold, State = (4, 2, 4, 1, 1, 0, 1), Price = 135.11, Reward = -0.0011, Equity = 99995710.44
[2025-07-26 02:22:22] CNC: Action = Hold, State = (0, 3, 4, 1, 3, 2, 1), Price = 57.38, Reward = 0.0000, Equity = 99995710.44
